Position,Games,FantasyPoints,PlayerID,AvgFPPG
WR,11,7.0,tylan wallace0,0.6363636363636364
WR,5,3.0,keelan doss0,0.6
WR,10,6.0,rakim jarrett0,0.6
TE,15,9.0,quintin morris0,0.6
TE,5,3.0,kenny yeboah0,0.6
RB,17,10.0,hunter luepke0,0.5882352941176471
FB,16,9.0,nick bawden0,0.5625
RB,13,7.0,eric gray0,0.5384615384615384
TE,15,8.0,brycen hopkins0,0.5333333333333333
TE,17,9.0,marcedes lewis0,0.5294117647058824
RB,6,3.0,derrick gore0,0.5
TE,2,1.0,cole fotheringham0,0.5
QB,2,1.0,sean clifford0,0.5
WR,6,3.0,jalen nailor0,0.5
RB,4,2.0,elijah dotson0,0.5
QB,2,1.0,a.j. mccarron0,0.5
RB,4,2.0,jake funk0,0.5
TE,8,4.0,peyton hendershot0,0.5
TE,12,6.0,ian thomas0,0.5
WR,14,7.0,velus jones jr.0,0.5
WR,10,5.0,justyn ross0,0.5
WR,17,8.0,tim jones0,0.47058823529411764
TE,17,8.0,ben sims0,0.47058823529411764
RB,17,8.0,trayveon williams0,0.47058823529411764
TE,15,7.0,josiah deguara0,0.4666666666666667
TE,13,6.0,payne durham0,0.46153846153846156
WR,13,6.0,isaiah mckenzie0,0.46153846153846156
WR,9,4.0,elijah cooks0,0.4444444444444444
TE,7,3.0,teagan quitoriano0,0.42857142857142855
QB,7,3.0,cooper rush0,0.42857142857142855
WR,7,3.0,trishton jackson0,0.42857142857142855
TE,17,7.0,blake bell0,0.4117647058823529
WR,5,2.0,laquon treadwell0,0.4
WR,5,2.0,kayshon boutte0,0.4
WR,13,5.0,ty montgomery0,0.38461538461538464
TE,16,6.0,ko kieft0,0.375
TE,17,6.0,darnell washington0,0.35294117647058826
WR,17,6.0,deandre carter0,0.35294117647058826
TE,17,6.0,mitchell wilcox0,0.35294117647058826
RB,3,1.0,anthony mcfarland jr.0,0.3333333333333333
QB,6,2.0,mike white0,0.3333333333333333
WR,3,1.0,malik taylor0,0.3333333333333333
WR,6,2.0,marvin jones0,0.3333333333333333
RB,3,1.0,devine ozigbo0,0.3333333333333333
WR,3,1.0,collin johnson0,0.3333333333333333
RB,3,1.0,kenyan drake0,0.3333333333333333
RB,11,3.0,sean tucker0,0.2727272727272727
TE,15,4.0,grant calcaterra0,0.26666666666666666
WR,16,4.0,britain covey0,0.25
WR,4,1.0,d'wayne eskridge0,0.25
WR,4,1.0,willie snead0,0.25
FB,17,4.0,michael burton0,0.23529411764705882
TE,17,4.0,jack stoll0,0.23529411764705882
WR,13,3.0,devin duvernay0,0.23076923076923078
FB,13,3.0,keith smith0,0.23076923076923078
TE,15,3.0,james mitchell0,0.2
TE,15,3.0,julian hill0,0.2
RB,10,2.0,zach evans0,0.2
